"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
25,11,"BNSF","RD1125115",NA,NA,"","",25,11,"BNSF","RD1125115",NA,"",25,11,27,5,5,"AM",1,0,0,0,0,NA,"TEMPLE","218.6",48,50,1,1,1,"E","HTUL",1,"13,672","1","Y","0199","1","0",2,"SHPX","434931",19,"Y","",NA,0,"",3,0,0,0,0,0,0,0,0,0,91,0,42,0,0,0,0,0,0,0,"254","1,554","H306","",0,0,0,0,"H306",2,"1",3,"15,918",NA,"48C027",0,0,0,1,0,1,0,6,5,6,5,1,5,NA,"1",NA,"",NA,"169",NA,2025,0,0,0,0,0,0,"BELL",27,NA,NA,NA,"N","13672",2,"Y-TPL3051-26A WAS SHOVING LIGHT ENGINE CONSIST INTO YARD TRACK AND STRUCK THE H-TULTPL1-25A AND DERA","ILING 1 LOCOMOTIVE IN THEIR LIGHT ENGINE CONSIST. NO HAZMAT RELEASED.","","","","","","","","","","","","","",0,31.104593,-97.348995,2,5,"K","","","FT WORTH"
25,11,"BNSF","NW1125104",NA,NA,"","",25,11,"BNSF","NW1125104",NA,"",25,11,3,4,30,"PM",1,4,4,0,0,NA,"PASCO","143.4",53,55,2,1,4,"E","YPAS",3,"7,659","7","Y","2617","X","0",2,"BNSF","561234",82,"N","",NA,0,"",2,0,0,0,0,0,0,0,0,0,54,0,26,0,0,3,0,3,0,0,"284,675","50,774","H702","",0,0,0,0,"H702",2,"X",4,"335,449",NA,"53C021",0,0,0,0,0,1,2,NA,NA,1,30,1,8,NA,"1",NA,"",NA,"228",NA,2025,0,0,0,0,0,0,"FRANKLIN",21,NA,NA,NA,"N","5306",NA,"Y-PAS2262-03A RCO SHOVING YARD TRACK WITH THE ASSISTANCE OF THE UTILITY PERSON (Y-PAS7231-03A) LINED","THE SWITCH AGAINST THE MOVEMENT, REVERSED DIRECTIONS AND DERAILED 6 RAILCARS DUE TO SWITCH IMPROPER","LY LINED. NO HAZMAT RELEASE.","","","","","","","","","","","","",3,46.263768,-119.098912,2,5,"K","","","LAKESIDE"
25,11,"CNRW","1732888",NA,NA,"","",25,11,"CNRW","1732888",NA,"",25,11,24,10,15,"PM",1,0,0,0,0,NA,"HARVEY","17.87",17,39,4,3,8,"E","M 35",3,"6,748","1","Y","MF83","1","",2,"CNA","712729",22,"Y","",NA,0,"",2,0,0,0,0,0,0,0,0,0,101,0,0,0,0,2,0,0,0,0,"8,100","8,000","T199","",0,0,0,0,"T199",2,"1",8,"16,100",NA,"17C031",0,0,0,1,0,1,0,7,10,7,10,1,4,NA,"1",NA,"",NA,"388",NA,2025,0,0,0,0,0,0,"COOK",31,NA,NA,NA,"N","3265",1,"THE M35651-19 WAS TAKING HEADROOM OUT OF F YARD ONTO MF83 WHEN THE 23RD CAR IN THEIR TRAIN (TTGX9716","25) DERAILED OVER THE SOUTHEND LEAD SWITCH. TRAIN DID NOT GO INTO EMERGENCY TRAVELED ROUGHLY 1000 FE","ET DERAILED AND TOOK OUT 2 SWITCHES RESULTING IN THE TRAIN ENDING UP MF8 BEFORE GOING INTO EMERGENCY","AND DERAILING THE SECOND CAR LINE 22 IN THEIR TRAIN (CNA712729). CAUSE IS TRACK RELATED","","","","","","","","","","","",0,41.636046,-87.627952,2,5,"","","","CHICAGO"
25,11,"UP","1125GP012",NA,NA,"","",25,11,"UP","1125GP012",NA,"",25,11,16,10,7,"AM",13,0,0,0,0,NA,"FAIRFIELD","242.4",31,47,2,2,50,"E","WCYM",3,"5,554","4","Y","MAIN LINE 2","4","85.5",1,"HZGX","010765",14,"N","HZGX",10765,14,"N",2,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,"202,204","0","E27C","",0,0,0,0,"E27C",1,"4",50,"202,204",NA,"31C035",0,0,0,1,0,1,0,6,25,6,25,1,6,NA,"CL",NA,"",NA,"104",NA,2025,0,0,0,0,0,0,"CLAY",35,NA,NA,NA,"N","2278",2,"RAILCAR HZGX10765 ON WORK TRAIN WCYMVZ-15 HAD A CAR BODY BUCKLE OUT DRAGGING ON THE RAIL. NO DERAILM","ENT.","","","","","","","","","","","","","",0,40.431075,-98.110053,1,1,"Q","","","MARYSVILLE SUB"
25,11,"BNSF","CH1125107",NA,NA,"","",25,11,"BNSF","CH1125107",NA,"",25,11,14,3,25,"PM",1,0,0,0,0,NA,"CENTRALIA","119.5",17,62,2,1,10,"E","ECLS",3,"3,278","1","Y","2018","1","0",2,"BNSF","009164",1,"","",NA,0,"",2,0,0,0,2,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,"0","0","H704","",0,0,0,0,"H704",2,"1",10,"86,000",NA,"17C027",0,0,0,1,0,1,0,15,55,15,55,1,4,NA,"1",NA,"",NA,"306",NA,2025,0,0,0,0,0,0,"CLINTON",27,NA,NA,NA,"N","7113",2,"C-ATMCLS2-43A WAS IN THE PROCESS OF PULLING INTO YARD TRACK AND DERAILED 2 LOCOMOTIVES AND 1 RAILCAR","DUE TO A PREVIOUS RUN THROUGH SWITCH. AFTER INVESTIGATION IT WAS DETERMINED THAT THE CREW ON E-CLSA","TM2-40A PULLED THROUGH THE SWITCH. DERAILMENT CAUSED THE BNSF 9101 TO RELEASE 1600 GALLONS OF DIESEL","FUEL.","","","","","","","","","","","",0,38.55399,-89.147552,2,5,"K","","","BEARDSTOWN"
25,11,"UP","1125HO030",NA,NA,"","",25,11,"UP","1125HO030",NA,"",25,11,26,8,27,"AM",1,96,6,0,0,NA,"HOUSTON","9.37",48,57,2,2,4,"R","MSRH",1,"17,781","1","Y","TRACK 123","2","21.4",1,"GAMX","005880",38,"N","",NA,0,"",3,0,0,0,0,0,0,0,0,0,123,0,38,0,0,0,0,8,0,0,"56,048","1,880","M405","",0,0,0,0,"M405",1,"2",4,"57,928",NA,"48C201",0,0,0,1,0,1,0,11,27,11,27,1,5,NA,"CL",NA,"",NA,"351",NA,2025,0,0,0,0,0,0,"HARRIS",201,0,0,NA,"N","9653",2,"MSRHO-26 COMING OFF THE GALVESTON SUB THROUGH THE CONNECTION TRACK NORTHBOUND ONTO THE HOUSTON EAST","BELT SUB, DERAILED 8 CARS. CREW STOPPED FOR AN XG AT MP 8.94 ON HOUSTON EAST BELT SUB, PULLED AHEAD","799 FEET WHEN THE TRAIN WENT INTO EMERGENCY AND THE CONDUCTOR FOUND THE DERAILED CARS. NO INJURIES O","R HAZARDOUS RELEASES ASSOCIATED WITH THIS INCIDENT.","","","","","","","","","","","",0,29.737485,-95.3135,1,1,"Q","","","HOUSTON EAST BELT SU"
25,11,"ALS","1125AS005",NA,NA,"","",25,11,"ALS","1125AS005",NA,"",25,11,12,7,22,"AM",12,0,0,0,0,NA,"EAST ST LOUIS","3.49",17,33,2,1,0,"E","",NA,"33","5","N","YARD 043","1","",2,"CRDX","011812",1,"N","",NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"164","0","M411","",0,0,0,0,"M411",2,"1",4,"17,292",NA,"17C163",0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,NA,"Cl",NA,"",NA,"210",NA,2025,0,0,0,0,0,0,"ST CLAIR",163,NA,NA,NA,"N","66",0,"TWO CAR DERAILMENT OCCURRED WHILE THE YR312-11 WAS HUMPING OFF TRACK 131. UTLX644493 HUMPED INTO AND","BYPASSED WITH CRDX11812. THE 2 CARS HAD A LIST CUT FOR 46 TRACK BUT WENT INTO 43 TRACK, WHICH WAS O","VERFLOWED.","","","","","","","","","","","","",0,38.589272,-90.140544,2,5,"L","","","ALTON & SOUTHERN GAT"
25,11,"UP","1125SX015",NA,NA,"","",25,11,"UP","1125SX015",NA,"",25,11,16,12,19,"PM",1,0,0,0,0,NA,"SAN ANTONIO","207",48,76,2,1,6,"E","YKB8",3,"4,944","1","Y","YARD 008","1","",2,"TIMX","515033",13,"N","",NA,0,"",4,0,0,0,0,0,0,0,0,0,38,0,15,0,0,1,0,2,0,0,"15,014","6,200","H019","",0,0,0,0,"H019",2,"1",6,"21,214",NA,"48C029",0,0,0,1,0,0,1,4,29,NA,NA,1,5,NA,"CL",NA,"",NA,"371",NA,2025,0,0,0,0,0,0,"BEXAR",29,0,0,NA,"N","3549",2,"YKB82-16, AFTER SHOVING THEIR TRAIN INTO TRACK 8, CREW MADE TWO JOINTS INSIDE TRACK 8. AFTER STRETCH","ING THEY BEGAN TO SHOVE, AND CONDUCTOR FAILED TO REMOVE HANDBRAKES FROM REAR 5 CARS. DUE TO LOCOMOTI","VE SHOVING AGAINST BRAKES AND USING EXCESSIVE FORCE DURING THE SHOVE, TAN EMPTY GONDOLA LIFTED OFF T","HE RAIL AND DERAILED, CAUSING TWO OTHER CARS TO DERAIL INSIDE THE YARD.","","","","","","","","","","","",0,29.435433,-98.454875,2,5,"L","","","DEL RIO SUB"
25,11,"CSX","000228261",NA,NA,"","",25,11,"CSX","000228261",NA,"",25,11,20,11,7,"AM",1,0,0,0,0,NA,"LAKELAND","856",12,80,2,1,10,"E","Y161",2,"0","7","Y","W05, YARD TRACK","1","0000.0",2,"CYXX","094696",6,"N","",NA,0,"",2,0,0,0,0,0,0,0,0,0,14,0,95,0,0,0,0,4,0,0,"97,769","6,299","H511","",0,0,0,0,"H511",2,"1",10,"104,068",NA,"12C105",0,0,0,1,0,1,0,2,7,2,7,1,3,NA,"1",NA,"",NA,"205",NA,2025,0,0,0,0,0,0,"POLK",105,0,0,NA,"N","6497",2,"YY16120 SHOVING 109 CARS INTO TRACK W05 AT WINSTON YARD WHEN 5 CARS DERAILED ON THE NORTH END LEAD A","T WINSTON YARD. LOCOMOTIVE OPERATOR APPLIED TOO MUCH AUTOMATIC BRAKE AND BUFFED CYXX 94696 OFF THE T","RACK.","","","","","","","","","","","","",0,28.027218,-82.011128,2,5,"","","","LAKELAND"
25,11,"UP","1125TO010",NA,NA,"","",25,11,"UP","1125TO010",NA,"",25,11,8,9,16,"PM",1,10,0,0,0,NA,"FORT WORTH","248.24",48,64,4,1,4,"R","MWTF",4,"16,302","1","Y","YARD 105","1","",2,"TTGX","965712",31,"N","",NA,0,"",3,0,2,0,0,0,0,0,0,0,102,0,64,0,0,0,0,3,0,0,"35,724","4,454","H508","",0,0,0,0,"H508",2,"1",4,"40,178",NA,"48C439",0,0,0,2,0,0,0,9,49,NA,NA,1,5,NA,"CL",NA,"",NA,"293",NA,2025,0,0,0,0,0,0,"TARRANT",439,0,0,NA,"N","12128",2,"THE MWTFW-07 WAS PULLING WEST OFF MAIN TRACK 2 DALLAS SUB INTO TRACK 105 AT DAVIDSON YARD AND DERAIL","ED 3 CARS AND DAMAGED 1. AFTER FURTHER INVESTIGATION, IT WAS FOUND THAT THE TTGX965712 DERAILED ON T","HE FROG AT THE 101-105 SWITCH THEN TRAVELED 336 FEET BEFORE STOPPING. NO HAZMAT, NO INJURIES.","","","","","","","","","","","","",0,32.730564,-97.363199,2,5,"L","","","DALLAS SUB"
